"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Mon Jul 22 14:33:52 IST 2024","Mon Jul 22 14:34:43 IST 2024","51311","chromium","amazon.spec.js","","","","Item Purchase on Amazon",""
"passed","Mon Jul 22 14:35:17 IST 2024","Mon Jul 22 14:35:23 IST 2024","6749","chromium","demoblaze.spec.js","","","","selecting multiple elements on the page",""
"passed","Mon Jul 22 14:35:24 IST 2024","Mon Jul 22 14:35:27 IST 2024","3654","chromium","demoblaze.spec.js","","","","GET_BY_ALT_TEXT",""
"passed","Mon Jul 22 14:35:32 IST 2024","Mon Jul 22 14:35:37 IST 2024","4837","chromium","demoblaze.spec.js","","","","GET_BY_LABEL",""
"failed","Mon Jul 22 14:35:39 IST 2024","Mon Jul 22 14:35:41 IST 2024","2472","chromium","goibiboBus.spec.js","","","","test",""
"passed","Mon Jul 22 14:35:23 IST 2024","Mon Jul 22 14:35:32 IST 2024","8952","chromium","demoblaze.spec.js","","","","product name on the page",""
"skipped","Mon Jul 22 14:35:27 IST 2024","Mon Jul 22 14:35:27 IST 2024","0","chromium","demoblaze.spec.js","","","","GET_BY_PLACEHOLDER",""
"passed","Mon Jul 22 14:34:53 IST 2024","Mon Jul 22 14:35:22 IST 2024","29199","chromium","Assertions.spec.js","","","","Assertion test",""
"broken","Mon Jul 22 14:35:37 IST 2024","Mon Jul 22 14:36:11 IST 2024","33995","chromium","flipkart.spec.js","Purchase phone on flipkart @tag1","","","Vivo mobile purchase",""
"passed","Mon Jul 22 14:36:23 IST 2024","Mon Jul 22 14:36:29 IST 2024","6432","chromium","UIBasics.spec.js","","","","Page Playwirght test",""
"failed","Mon Jul 22 14:36:07 IST 2024","Mon Jul 22 14:36:09 IST 2024","2233","chromium","goibiboTrain.spec.js","","","","test",""
"passed","Mon Jul 22 14:35:27 IST 2024","Mon Jul 22 14:35:32 IST 2024","4522","chromium","demoblaze.spec.js","","","","GET_BY_ROLE",""
"passed","Mon Jul 22 14:35:32 IST 2024","Mon Jul 22 14:35:39 IST 2024","6746","chromium","demoblaze.spec.js","","","","GET_BY_TEXT",""
"passed","Mon Jul 22 14:36:14 IST 2024","Mon Jul 22 14:36:22 IST 2024","8613","chromium","google.spec.js","","","","google search test",""
"passed","Mon Jul 22 14:34:54 IST 2024","Mon Jul 22 14:35:15 IST 2024","20728","chromium","demoblaze.spec.js","","","","login page test",""
"broken","Mon Jul 22 14:33:52 IST 2024","Mon Jul 22 14:34:41 IST 2024","49393","chromium","amazonPurchase.spec.js","","","","test",""
"failed","Mon Jul 22 14:36:01 IST 2024","Mon Jul 22 14:36:03 IST 2024","1719","chromium","goibiboFlight.spec.js","","","","test",""
